1775393495.3284717 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-04-05-05-51-35-323668-ubuntu-28422
1775393495.3287966 [INFO] [launch]: Default logging verbosity is set to INFO
1775393495.3932841 [INFO] [myMain-1]: process started with pid [28424]
1775393495.3934629 [INFO] [navNode-2]: process started with pid [28426]
1775393495.7080104 [navNode-2] [INFO] [1775393495.707703535] [navNode]: paths: [
1775393495.7086039 [navNode-2]   {"x": 0.00, "y": 0.00, "z": 0.70, "label": "TakeOff", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7088993 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 0.80, "label": "A6"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7091246 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 1.20, "label": "A3"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7098193 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 1.20, "label": "A2"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7100766 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 0.80, "label": "A5"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7107666 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 0.80, "label": "A4"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7110388 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 1.20, "label": "A1"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7115707 [navNode-2]   {"x":-0.25, "y": 2.00, "z": 0.70, "label": "UpSide1", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7118483 [navNode-2]   {"x": 0.75, "y": 2.00, "z": 0.70, "label": "LandPos", "qrcode": "", "label2": ""       , "qrcode2": "" }
1775393495.7120602 [navNode-2] ]
1775393686.1790679 [navNode-2] [INFO] [1775393686.178672687] [navNode]: MCU2 send back: Gdoing*
1775393686.1795173 [myMain-1] [INFO] [1775393686.178723854] [Ground]: MCU2 send back: Gdoing*
1775393686.2992101 [myMain-1] [INFO] [1775393686.298876513] [Ground]: MCU2 send back: Gdoing*
1775393686.3007817 [navNode-2] [INFO] [1775393686.300484384] [navNode]: MCU2 send back: Gdoing*
1775393686.4192641 [myMain-1] [INFO] [1775393686.418868476] [Ground]: MCU2 send back: Gdoing*
1775393686.4200103 [navNode-2] [INFO] [1775393686.419742266] [navNode]: MCU2 send back: Gdoing*
1775393686.5407078 [navNode-2] [INFO] [1775393686.540340642] [navNode]: MCU2 send back: Gdoing*
1775393686.5416131 [myMain-1] [INFO] [1775393686.541374443] [Ground]: MCU2 send back: Gdoing*
1775393686.6613522 [navNode-2] [INFO] [1775393686.661027895] [navNode]: MCU2 send back: Gdoing*
1775393686.6617534 [myMain-1] [INFO] [1775393686.661558769] [Ground]: MCU2 send back: Gdoing*
1775393686.7801719 [navNode-2] [INFO] [1775393686.779867792] [navNode]: MCU2 send back: Gdoing*
1775393686.7805724 [myMain-1] [INFO] [1775393686.780283224] [Ground]: MCU2 send back: Gdoing*
1775393686.9003320 [navNode-2] [INFO] [1775393686.900038563] [navNode]: MCU2 send back: Gdoing*
1775393686.9012039 [myMain-1] [INFO] [1775393686.900998134] [Ground]: MCU2 send back: Gdoing*
1775393687.0200961 [myMain-1] [INFO] [1775393687.019739342] [Ground]: MCU2 send back: Gdoing*
1775393687.0204048 [navNode-2] [INFO] [1775393687.019789780] [navNode]: MCU2 send back: Gdoing*
1775393687.1410763 [navNode-2] [INFO] [1775393687.140651823] [navNode]: MCU2 send back: Gdoing*
1775393687.1423721 [myMain-1] [INFO] [1775393687.142086198] [Ground]: MCU2 send back: Gdoing*
1775393687.2615509 [navNode-2] [INFO] [1775393687.261224408] [navNode]: MCU2 send back: Gdone*
1775393687.2619414 [navNode-2] [INFO] [1775393687.261654532] [navNode]: mcu:已到目标点-[none]
1775393687.2639949 [myMain-1] [INFO] [1775393687.263562433] [Ground]: MCU2 send back: Gdone*
